=== PALABRAS ORDENADAS ALFABÉTICAMENTE ===
Archivo fuente: 474_clean.txt
Total de palabras únicas: 159
Total de palabras: 333
--------------------------------------------------

aacute                         (9 veces)
activos                        (1 veces)
adem                           (1 veces)
adentra                        (1 veces)
adquirido                      (1 veces)
ahorros                        (1 veces)
alguna                         (1 veces)
as                             (1 veces)
ascendieron                    (1 veces)
asociaci                       (1 veces)
barriles                       (1 veces)
bicos                          (2 veces)
bpd                            (4 veces)
capacidad                      (1 veces)
captaci                        (1 veces)
central                        (1 veces)
compa                          (2 veces)
comparaci                      (1 veces)
comprobadas                    (1 veces)
con                            (4 veces)
concentradas                   (1 veces)
condados                       (1 veces)
condensado                     (1 veces)
constituir                     (1 veces)
contra                         (1 veces)
controlada                     (1 veces)
convierten                     (1 veces)
costos                         (1 veces)
crear                          (1 veces)
cuartas                        (1 veces)
de                             (39 veces)
declinantes                    (1 veces)
del                            (3 veces)
diarios                        (1 veces)
dos                            (1 veces)
eacute                         (3 veces)
econom                         (1 veces)
ejercicio                      (1 veces)
el                             (3 veces)
empresa                        (1 veces)
empresas                       (1 veces)
en                             (17 veces)
es                             (1 veces)
escala                         (1 veces)
espera                         (1 veces)
est                            (2 veces)
esta                           (1 veces)
estado                         (1 veces)
estados                        (3 veces)
estos                          (1 veces)
explorando                     (1 veces)
extensi                        (2 veces)
fera                           (1 veces)
fines                          (1 veces)
forma                          (2 veces)
fue                            (1 veces)
ganancia                       (1 veces)
gas                            (7 veces)
gran                           (1 veces)
iacute                         (6 veces)
importantes                    (1 veces)
incluyeron                     (1 veces)
integrada                      (1 veces)
kil                            (1 veces)
la                             (5 veces)
larga                          (1 veces)
las                            (5 veces)
leo                            (1 veces)
lograr                         (1 veces)
los                            (4 veces)
marketing                      (1 veces)
maxus                          (6 veces)
mayor                          (1 veces)
medida                         (1 veces)
mejorar                        (2 veces)
metros                         (1 veces)
midgard                        (1 veces)
mientras                       (1 veces)
miles                          (1 veces)
millones                       (3 veces)
mismos                         (1 veces)
mmcfd                          (5 veces)
moderadas                      (1 veces)
natural                        (5 veces)
neta                           (1 veces)
netas                          (1 veces)
ntilde                         (2 veces)
oacute                         (16 veces)
occidental                     (1 veces)
oklahoma                       (2 veces)
opera                          (2 veces)
operaciones                    (1 veces)
oportunidades                  (1 veces)
otra                           (1 veces)
pa                             (1 veces)
panhandle                      (1 veces)
para                           (3 veces)
partes                         (1 veces)
participaci                    (2 veces)
petr                           (1 veces)
petroleras                     (1 veces)
pies                           (2 veces)
plantas                        (1 veces)
plenamente                     (1 veces)
por                            (1 veces)
porcentaje                     (1 veces)
posibles                       (1 veces)
pozos                          (5 veces)
predecibles                    (1 veces)
procesadoras                   (1 veces)
procesamiento                  (1 veces)
producci                       (4 veces)
productora                     (1 veces)
productoras                    (1 veces)
promedi                        (1 veces)
promedia                       (1 veces)
promedio                       (1 veces)
que                            (5 veces)
rea                            (1 veces)
reducir                        (1 veces)
regi                           (2 veces)
regiones                       (1 veces)
relleno                        (1 veces)
reservas                       (2 veces)
respectivamente                (1 veces)
rgenes                         (1 veces)
se                             (4 veces)
sector                         (1 veces)
sicamente                      (1 veces)
significativos                 (1 veces)
sistema                        (1 veces)
sta                            (1 veces)
su                             (3 veces)
subsidiaria                    (1 veces)
sumaban                        (1 veces)
tambi                          (1 veces)
tasas                          (1 veces)
terceros                       (1 veces)
terminados                     (1 veces)
terminaron                     (1 veces)
territorio                     (1 veces)
texas                          (1 veces)
tiene                          (1 veces)
totales                        (1 veces)
totalmente                     (1 veces)
trata                          (1 veces)
trav                           (1 veces)
tres                           (1 veces)
tuvo                           (1 veces)
uacute                         (2 veces)
ulterior                       (1 veces)
un                             (4 veces)
una                            (5 veces)
unidos                         (3 veces)
utes                           (1 veces)
vendidos                       (1 veces)
ventas                         (2 veces)
vida                           (1 veces)
ypf                            (5 veces)
