=== PALABRAS ORDENADAS ALFABÉTICAMENTE ===
Archivo fuente: 430_clean.txt
Total de palabras únicas: 159
Total de palabras: 173
--------------------------------------------------

acu                            (3 veces)
aiken                          (1 veces)
alabama                        (1 veces)
alaska                         (1 veces)
allen                          (1 veces)
allott                         (1 veces)
anderson                       (1 veces)
arizona                        (1 veces)
arkansas                       (1 veces)
baker                          (1 veces)
bayh                           (1 veces)
beall                          (1 veces)
bellmon                        (1 veces)
bennett                        (1 veces)
bentsen                        (1 veces)
bible                          (1 veces)
boggs                          (1 veces)
brock                          (1 veces)
brooke                         (1 veces)
buckley                        (1 veces)
burdick                        (1 veces)
byrd                           (2 veces)
california                     (1 veces)
cannon                         (1 veces)
caps                           (1 veces)
carolina                       (2 veces)
case                           (1 veces)
chiles                         (1 veces)
church                         (1 veces)
colorado                       (1 veces)
connecticut                    (1 veces)
cook                           (1 veces)
cooper                         (1 veces)
cotton                         (1 veces)
cranston                       (1 veces)
curtis                         (1 veces)
dakota                         (2 veces)
delaware                       (1 veces)
dole                           (1 veces)
dominick                       (1 veces)
eagleton                       (1 veces)
eastland                       (1 veces)
ellender                       (1 veces)
ervin                          (1 veces)
fannin                         (1 veces)
florida                        (1 veces)
fong                           (1 veces)
fulbright                      (1 veces)
gambrell                       (1 veces)
georgia                        (1 veces)
goldwater                      (1 veces)
gravel                         (1 veces)
griffin                        (1 veces)
gurney                         (1 veces)
hampshire                      (1 veces)
hansen                         (1 veces)
harris                         (1 veces)
hart                           (1 veces)
hartke                         (1 veces)
hatfield                       (1 veces)
hawaii                         (1 veces)
hollings                       (1 veces)
hruska                         (1 veces)
hughes                         (1 veces)
humphery                       (1 veces)
idaho                          (1 veces)
illinois                       (1 veces)
in                             (1 veces)
index                          (1 veces)
indiana                        (1 veces)
inouye                         (1 veces)
iowa                           (1 veces)
island                         (1 veces)
issues                         (1 veces)
jackson                        (1 veces)
javits                         (1 veces)
jersey                         (1 veces)
jordan                         (2 veces)
kansas                         (1 veces)
kennedy                        (1 veces)
kentucky                       (1 veces)
key                            (1 veces)
long                           (1 veces)
louisiana                      (1 veces)
magnuson                       (1 veces)
maine                          (1 veces)
mansfield                      (1 veces)
maryland                       (1 veces)
massachusetts                  (1 veces)
mathias                        (1 veces)
mcclellan                      (1 veces)
mcgee                          (1 veces)
mcgovern                       (1 veces)
mcintyre                       (1 veces)
metcalf                        (1 veces)
mexico                         (1 veces)
michigan                       (1 veces)
miller                         (1 veces)
minnesota                      (1 veces)
mississippi                    (1 veces)
missouri                       (1 veces)
mondale                        (1 veces)
montana                        (1 veces)
montoya                        (1 veces)
moss                           (1 veces)
mundt                          (1 veces)
muskie                         (1 veces)
nebraska                       (1 veces)
nelson                         (1 veces)
nevada                         (1 veces)
new                            (4 veces)
north                          (2 veces)
ohio                           (1 veces)
oklahoma                       (1 veces)
oregon                         (1 veces)
packwood                       (1 veces)
pastore                        (1 veces)
pearson                        (1 veces)
pell                           (1 veces)
pennsylvania                   (1 veces)
percy                          (1 veces)
proxmire                       (1 veces)
randolph                       (1 veces)
ratings                        (2 veces)
republicans                    (1 veces)
rhode                          (1 veces)
ribicoff                       (1 veces)
roth                           (1 veces)
saxbe                          (1 veces)
schweiker                      (1 veces)
scott                          (1 veces)
senate                         (2 veces)
smith                          (1 veces)
south                          (2 veces)
sparkman                       (1 veces)
spong                          (1 veces)
stafford                       (1 veces)
stennis                        (1 veces)
stevens                        (1 veces)
stevenson                      (1 veces)
symington                      (1 veces)
taft                           (1 veces)
talmadge                       (1 veces)
tennessee                      (1 veces)
texas                          (1 veces)
thurmond                       (1 veces)
tower                          (1 veces)
tunney                         (1 veces)
utah                           (1 veces)
vermont                        (1 veces)
virginia                       (2 veces)
washington                     (1 veces)
weicker                        (1 veces)
west                           (1 veces)
williams                       (1 veces)
wisconsin                      (1 veces)
wyoming                        (1 veces)
york                           (1 veces)
young                          (1 veces)
