PosiciónHash	Token	NumDocs	PosPosting
----------------------------------------------------------------------
0	-	0	-1
1	-	0	-1
2	suggested	1	1031
3	-	0	-1
4	cdt	1	143
5	-	0	-1
6	treated	1	1109
7	held	1	501
8	http	1	520
9	policy	1	824
10	-	0	-1
11	professor	1	859
12	uniform	1	1124
13	escape	1	374
14	among	1	51
15	organizational	1	766
16	-	0	-1
17	-	0	-1
18	nation	1	714
19	-	0	-1
20	-	0	-1
21	percent	1	811
22	despite	1	285
23	-	0	-1
24	clerk	1	158
25	harris	1	487
26	-	0	-1
27	iv	1	597
28	-	0	-1
29	-	0	-1
30	rare	1	887
31	-	0	-1
32	doctors	1	319
33	psychiatric	1	874
34	-	0	-1
35	-	0	-1
36	-	0	-1
37	-	0	-1
38	cir	1	153
39	reluctant	1	911
40	technologies	1	1051
41	amounts	1	52
42	senator	1	971
43	-	0	-1
44	-	0	-1
45	-	0	-1
46	environments	1	369
47	harvard	1	488
48	highly	1	503
49	year	1	1182
50	-	0	-1
51	-	0	-1
52	-	0	-1
53	-	0	-1
54	-	0	-1
55	-	0	-1
56	-	0	-1
57	are	3	67
58	-	0	-1
59	feingold	1	410
60	purposes	1	880
61	-	0	-1
62	automation	1	90
63	filing	1	420
64	globe	1	458
65	not	1	734
66	-	0	-1
67	-	0	-1
68	local	1	652
69	-	0	-1
70	bureau	1	131
71	-	0	-1
72	-	0	-1
73	-	0	-1
74	-	0	-1
75	-	0	-1
76	-	0	-1
77	was	1	1148
78	indeed	1	551
79	-	0	-1
80	-	0	-1
81	-	0	-1
82	-	0	-1
83	-	0	-1
84	-	0	-1
85	-	0	-1
86	required	1	921
87	current	1	249
88	or	2	761
89	-	0	-1
90	-	0	-1
91	-	0	-1
92	-	0	-1
93	rose	1	946
94	television	1	1053
95	too	1	1100
96	-	0	-1
97	risk	1	941
98	limited	1	648
99	without	1	1173
100	ph	1	815
101	richard	1	936
102	-	0	-1
103	-	0	-1
104	introduced	1	581
105	-	0	-1
106	-	0	-1
107	bennett	1	115
108	internet	1	578
109	-	0	-1
110	gimpel	1	456
111	personal	1	813
112	science	1	960
113	primary	1	850
114	-	0	-1
115	them	1	1073
116	-	0	-1
117	-	0	-1
118	mistakenly	1	694
119	-	0	-1
120	focus	1	427
121	regulations	1	904
122	-	0	-1
123	embodied	1	342
124	-	0	-1
125	-	0	-1
126	-	0	-1
127	-	0	-1
128	-	0	-1
129	over	1	779
130	-	0	-1
131	-	0	-1
132	-	0	-1
133	antiviral	1	58
134	spotlight	1	1009
135	-	0	-1
136	routinely	1	947
137	-	0	-1
138	-	0	-1
139	there	2	1078
140	-	0	-1
141	-	0	-1
142	-	0	-1
143	-	0	-1
144	conform	1	200
145	daschle	1	256
146	perception	1	812
147	rapidly	1	886
148	twenty-five	1	1115
149	images	1	531
150	users	1	1136
151	-	0	-1
152	-	0	-1
153	-	0	-1
154	-	0	-1
155	fact	1	398
156	outside	1	776
157	barker	1	98
158	organization	1	765
159	harassment	1	483
160	legislatures	1	639
161	receive	1	889
162	ways	1	1150
163	-	0	-1
164	-	0	-1
165	possible	1	830
166	-	0	-1
167	medical	1	686
168	-	0	-1
169	makes	1	665
170	-	0	-1
171	-	0	-1
172	-	0	-1
173	continued	1	217
174	fair	1	402
175	became	1	102
176	department	2	274
177	jim	1	603
178	submitted	1	1028
179	-	0	-1
180	-	0	-1
181	grow	1	474
182	easily	1	331
183	preserving	1	845
184	take	1	1044
185	preparing	1	842
186	-	0	-1
187	-	0	-1
188	-	0	-1
189	-	0	-1
190	troubling	1	1112
191	-	0	-1
192	towards	1	1101
193	establishes	1	378
194	larry	1	624
195	requested	1	920
196	-	0	-1
197	-	0	-1
198	dime	1	299
199	red	1	898
200	-	0	-1
201	-	0	-1
202	riley	1	939
203	-	0	-1
204	including	1	546
205	unauthorized	1	1120
206	-	0	-1
207	demands	1	269
208	revealed	1	932
209	-	0	-1
210	-	0	-1
211	-	0	-1
212	-	0	-1
213	-	0	-1
214	roil	1	945
215	prior	1	853
216	joel	1	605
217	majority	1	663
218	my	2	708
219	records	1	897
220	similar	1	991
221	subject	1	1027
222	third	1	1082
223	-	0	-1
224	-	0	-1
225	it	4	591
226	-	0	-1
227	-	0	-1
228	ota	1	768
229	-	0	-1
230	rep	1	913
231	malpractice	1	666
232	-	0	-1
233	-	0	-1
234	-	0	-1
235	-	0	-1
236	-	0	-1
237	kassebaum	1	612
238	results	1	930
239	-	0	-1
240	-	0	-1
241	-	0	-1
242	-	0	-1
243	-	0	-1
244	undoubtedly	1	1122
245	york	1	1183
246	ability	1	5
247	paid	1	789
248	-	0	-1
249	-	0	-1
250	-	0	-1
251	-	0	-1
252	am	1	47
253	-	0	-1
254	-	0	-1
255	iom	1	583
256	-	0	-1
257	says	1	955
258	details	1	288
259	-	0	-1
260	closely	1	162
261	disease	1	311
262	finally	1	421
263	lifetime	1	647
264	-	0	-1
265	-	0	-1
266	-	0	-1
267	ensuring	1	363
268	aids	1	37
269	worlds	1	1177
270	confidential	1	197
271	adverse	1	28
272	automated	1	89
273	produce	1	857
274	-	0	-1
275	guidelines	1	478
276	-	0	-1
277	-	0	-1
278	harms	1	486
279	traditional	1	1102
280	-	0	-1
281	d20	1	254
282	future	1	450
283	management	1	668
284	infrastructure	1	560
285	case	1	142
286	newspaper	1	728
287	onto	1	756
288	outlines	1	775
289	-	0	-1
290	-	0	-1
291	attempts	1	84
292	-	0	-1
293	-	0	-1
294	-	0	-1
295	-	0	-1
296	-	0	-1
297	name	2	710
298	representatives	1	917
299	-	0	-1
300	matthew	1	676
301	-	0	-1
302	-	0	-1
303	-	0	-1
304	-	0	-1
305	differing	1	296
306	-	0	-1
307	individual	1	553
308	a1	1	0
309	representing	1	918
310	-	0	-1
311	surprised	1	1035
312	-	0	-1
313	-	0	-1
314	-	0	-1
315	-	0	-1
316	prank	1	835
317	-	0	-1
318	encourage	1	353
319	-	0	-1
320	-	0	-1
321	-	0	-1
322	-	0	-1
323	were	2	1158
324	-	0	-1
325	louis	1	658
326	useful	1	1135
327	-	0	-1
328	piecemeal	1	818
329	-	0	-1
330	-	0	-1
331	-	0	-1
332	once	1	752
333	-	0	-1
334	received	1	890
335	few	1	411
336	goal	1	461
337	notes	1	735
338	constitutional	1	209
339	overcoming	1	781
340	urge	1	1128
341	-	0	-1
342	losing	1	656
343	conclusion	1	193
344	obtain	1	744
345	-	0	-1
346	-	0	-1
347	package	1	786
348	-	0	-1
349	those	1	1089
350	-	0	-1
351	-	0	-1
352	june	1	610
353	-	0	-1
354	exacerbates	1	384
355	-	0	-1
356	-	0	-1
357	-	0	-1
358	-	0	-1
359	-	0	-1
360	-	0	-1
361	-	0	-1
362	a5	1	4
363	report	1	914
364	-	0	-1
365	country	1	232
366	from	1	447
367	susan	1	1038
368	-	0	-1
369	april	1	66
370	-	0	-1
371	-	0	-1
372	victim	1	1141
373	-	0	-1
374	-	0	-1
375	discovered	1	309
376	-	0	-1
377	-	0	-1
378	most	1	702
379	which	1	1162
380	redress	1	899
381	-	0	-1
382	health	1	497
383	-	0	-1
384	-	0	-1
385	nothing	1	736
386	-	0	-1
387	-	0	-1
388	-	0	-1
389	-	0	-1
390	seat	1	961
391	-	0	-1
392	-	0	-1
393	-	0	-1
394	equifax	1	370
395	iii	1	530
396	rules	1	950
397	sometimes	1	1004
398	speech	1	1007
399	minimized	1	692
400	-	0	-1
401	-	0	-1
402	-	0	-1
403	-	0	-1
404	-	0	-1
405	-	0	-1
406	-	0	-1
407	through	1	1092
408	-	0	-1
409	system	1	1040
410	-	0	-1
411	-	0	-1
412	traveling	1	1108
413	quality	1	882
414	-	0	-1
415	subcommittee	1	1026
416	democratic	1	271
417	use	1	1133
418	protections	1	870
419	overview	1	784
420	cornerstones	1	223
421	-	0	-1
422	-	0	-1
423	unattended	1	1119
424	-	0	-1
425	-	0	-1
426	-	0	-1
427	-	0	-1
428	-	0	-1
429	hearings	1	499
430	r-ut	1	885
431	-	0	-1
432	withdraw	1	1170
433	-	0	-1
434	companies	1	178
435	employees	1	346
436	-	0	-1
437	seven	1	980
438	-	0	-1
439	-	0	-1
440	-	0	-1
441	published	1	878
442	so	1	996
443	urinalysis	1	1131
444	-	0	-1
445	-	0	-1
446	-	0	-1
447	march	1	670
448	-	0	-1
449	-	0	-1
450	well-designed	1	1154
451	barriers	1	99
452	-	0	-1
453	-	0	-1
454	-	0	-1
455	-	0	-1
456	doe	1	320
457	-	0	-1
458	-	0	-1
459	-	0	-1
460	-	0	-1
461	-	0	-1
462	legitimate	1	640
463	-	0	-1
464	program	1	860
465	-	0	-1
466	believed	1	111
467	-	0	-1
468	-	0	-1
469	achieve	1	15
470	-	0	-1
471	-	0	-1
472	-	0	-1
473	-	0	-1
474	identifiable	1	525
475	violated	1	1142
476	-	0	-1
477	-	0	-1
478	filed	1	418
479	the	4	1068
480	-	0	-1
481	big	1	117
482	-	0	-1
483	-	0	-1
484	-	0	-1
485	-	0	-1
486	-	0	-1
487	-	0	-1
488	-	0	-1
489	-	0	-1
490	-	0	-1
491	-	0	-1
492	-	0	-1
493	-	0	-1
494	-	0	-1
495	clinic	1	160
496	comprehensive	1	183
497	penalties	1	805
498	judge	1	609
499	sgauch	1	982
500	congressional	1	203
501	needed	1	719
502	requirement	1	922
503	-	0	-1
504	-	0	-1
505	consent	1	206
506	-	0	-1
507	-	0	-1
508	-	0	-1
509	-	0	-1
510	-	0	-1
511	himself	1	504
512	-	0	-1
513	-	0	-1
514	-	0	-1
515	-	0	-1
516	associations	1	78
517	-	0	-1
518	-	0	-1
519	-	0	-1
520	-	0	-1
521	many	1	669
522	-	0	-1
523	-	0	-1
524	innovations	1	561
525	-	0	-1
526	-	0	-1
527	letters	1	641
528	advances	1	27
529	said	1	952
530	-	0	-1
531	-	0	-1
532	-	0	-1
533	had	1	480
534	-	0	-1
535	-	0	-1
536	unprotected	1	1127
537	a33	1	3
538	-	0	-1
539	adequately	1	25
540	enactment	1	352
541	levels	1	642
542	media	1	683
543	participate	1	793
544	-	0	-1
545	interesting	1	575
546	reviewing	1	934
547	-	0	-1
548	-	0	-1
549	-	0	-1
550	-	0	-1
551	-	0	-1
552	-	0	-1
553	hope	1	511
554	-	0	-1
555	-	0	-1
556	-	0	-1
557	survey	1	1036
558	-	0	-1
559	will	1	1167
560	-	0	-1
561	-	0	-1
562	-	0	-1
563	numerous	1	740
564	portion	1	826
565	-	0	-1
566	-	0	-1
567	-	0	-1
568	-	0	-1
569	martin	1	672
570	example	1	385
571	sponsored	1	1008
572	-	0	-1
573	-	0	-1
574	-	0	-1
575	unaffected	1	1118
576	-	0	-1
577	-	0	-1
578	maybe	1	678
579	copy	1	221
580	conference	1	195
581	payors	1	804
582	great	1	471
583	advocates	1	29
584	-	0	-1
585	-	0	-1
586	-	0	-1
587	nydia	1	743
588	-	0	-1
589	regulators	1	905
590	-	0	-1
591	-	0	-1
592	code	1	166
593	-	0	-1
594	-	0	-1
595	-	0	-1
596	-	0	-1
597	authority	1	88
598	business	1	132
599	set	1	978
600	pointed	1	822
601	-	0	-1
602	cincinnati	1	152
603	hunter	1	522
604	significant	1	990
605	-	0	-1
606	-	0	-1
607	-	0	-1
608	-	0	-1
609	-	0	-1
610	-	0	-1
611	-	0	-1
612	-	0	-1
613	corporation	1	224
614	recently	1	891
615	action	1	18
616	different	1	295
617	common	1	175
618	existing	1	387
619	safeguards	1	951
620	-	0	-1
621	-	0	-1
622	-	0	-1
623	-	0	-1
624	legislation	1	638
625	-	0	-1
626	-	0	-1
627	-	0	-1
628	-	0	-1
629	d-ny	1	251
630	-	0	-1
631	committee	1	174
632	-	0	-1
633	-	0	-1
634	-	0	-1
635	-	0	-1
636	in	4	540
637	forms	1	436
638	right	1	937
639	-	0	-1
640	-	0	-1
641	kept	1	616
642	-	0	-1
643	-	0	-1
644	false	1	404
645	managed	1	667
646	-	0	-1
647	attached	1	81
648	-	0	-1
649	-	0	-1
650	coverage	1	237
651	blue	1	121
652	-	0	-1
653	actually	1	20
654	exacerbate	1	383
655	nan	1	713
656	-	0	-1
657	exponentially	1	395
658	opportunities	1	759
659	alert	1	40
660	-	0	-1
661	-	0	-1
662	incomplete	1	547
663	-	0	-1
664	millions	1	691
665	enforcement	1	356
666	protecting	1	868
667	county	1	233
668	number	1	738
669	with	1	1169
670	lewis	1	645
671	-	0	-1
672	-	0	-1
673	-	0	-1
674	-	0	-1
675	-	0	-1
676	-	0	-1
677	-	0	-1
678	insufficiently	1	567
679	school	1	958
680	reform	1	901
681	seeks	1	967
682	testimony	1	1061
683	pressed	1	846
684	-	0	-1
685	-	0	-1
686	danger	1	255
687	services	1	976
688	-	0	-1
689	-	0	-1
690	h20	1	479
691	party	1	795
692	should	1	989
693	forward	1	437
694	-	0	-1
695	assistance	1	75
696	-	0	-1
697	against	1	33
698	assessment	1	74
699	called	1	136
700	-	0	-1
701	-	0	-1
702	-	0	-1
703	-	0	-1
704	-	0	-1
705	-	0	-1
706	-	0	-1
707	-	0	-1
708	-	0	-1
709	-	0	-1
710	goldman	1	464
711	potential	1	832
712	realize	1	888
713	-	0	-1
714	hospital	1	514
715	-	0	-1
716	-	0	-1
717	fall	1	403
718	neighboring	1	721
719	-	0	-1
720	-	0	-1
721	-	0	-1
722	-	0	-1
723	-	0	-1
724	-	0	-1
725	-	0	-1
726	-	0	-1
727	-	0	-1
728	-	0	-1
729	-	0	-1
730	risks	1	942
731	-	0	-1
732	-	0	-1
733	study	1	1025
734	favored	1	405
735	obtained	1	745
736	edu	1	333
737	-	0	-1
738	-	0	-1
739	operations	1	758
740	-	0	-1
741	-	0	-1
742	-	0	-1
743	-	0	-1
744	house	1	515
745	-	0	-1
746	-	0	-1
747	-	0	-1
748	-	0	-1
749	disastrous	1	304
750	extent	1	396
751	protects	1	871
752	-	0	-1
